<Header>
User name:  user_name
Location:  sample_location
Model: MINI-WRAS
Serial No.: 71-15-01
Software revision:  V8-1 Rev II (2017 Sept 26)
Unit: [1/cm3] 
Comment:  
online data
<Data>
[d&t31/12/2035 11:50:55]	PM10	PM2.5	PM1	Inhalable	Thoracic	Alveolic
19/07/2023 13:23:36	1948.8	361.1	46.5	3996.5	2004.5	928.3
19/07/2023 13:24:36	1943.4	356.1	45.7	4050.7	1998.3	920.8
19/07/2023 13:26:36	2308.9	521.1	52.5	4589.0	2354.6	1233.4
19/07/2023 13:27:36	2258.6	386.2	47.5	4441.8	2317.7	1042.5
19/07/2023 13:28:36	2332.4	404.9	48.9	4950.2	2383.1	1083.4
19/07/2023 13:29:36	2433.2	425.7	51.1	4634.2	2459.4	1139.6
19/07/2023 13:30:36	2644.1	424.8	50.3	5967.8	2743.5	1177.4
19/07/2023 13:31:36	2428.7	431.0	53.0	4495.8	2473.2	1135.9
19/07/2023 13:32:36	2426.3	423.9	50.1	4736.8	2468.8	1133.0
19/07/2023 13:33:36	2388.9	412.1	49.5	4688.6	2433.6	1108.1
19/07/2023 13:35:36	2908.1	430.6	51.0	6728.5	2989.7	1244.7
19/07/2023 13:36:36	2363.9	398.2	47.5	4871.7	2421.8	1080.9
19/07/2023 13:38:36	2166.8	375.8	46.6	5085.7	2223.0	997.0
19/07/2023 13:39:36	2146.9	372.3	46.0	4381.8	2190.3	998.2
19/07/2023 13:40:36	2107.0	365.1	45.6	4039.7	2145.7	978.6
19/07/2023 13:41:36	2107.0	374.9	47.5	4070.7	2124.0	985.9
19/07/2023 13:42:36	2116.2	365.6	45.3	4838.9	2145.8	979.9
19/07/2023 13:43:36	1902.8	345.9	43.1	3649.0	1913.4	914.1
19/07/2023 13:44:36	1829.0	334.7	42.2	3181.6	1844.2	876.5
19/07/2023 13:46:36	4095.7	520.5	55.6	15457.5	4477.7	1517.6
19/07/2023 13:47:36	2064.0	317.8	41.0	4975.8	2152.9	883.3
19/07/2023 13:48:36	7598.3	638.9	60.8	30732.8	8653.7	2247.8
19/07/2023 13:49:36	2700.1	364.7	45.0	7980.7	2879.7	1072.3
19/07/2023 13:50:36	4450.3	484.7	51.2	12016.7	4672.0	1557.0
19/07/2023 13:51:36	3416.4	395.8	45.6	8128.4	3544.2	1268.8
19/07/2023 13:52:36	2480.7	360.4	43.8	5682.7	2553.6	1027.1
19/07/2023 13:53:36	2365.5	344.2	42.4	5735.7	2443.4	989.0
19/07/2023 13:54:36	2283.7	347.0	42.4	4588.1	2322.6	964.4
19/07/2023 13:55:36	2024.3	326.5	40.3	4281.5	2071.8	900.3
19/07/2023 13:56:36	1796.1	307.6	38.7	3633.2	1825.8	818.4
19/07/2023 13:57:36	1865.4	314.4	39.4	3581.0	1896.1	840.2
19/07/2023 13:58:36	1796.8	302.8	38.5	3627.7	1837.6	815.6
19/07/2023 13:59:36	1739.4	290.5	38.1	2920.1	1734.2	781.0
19/07/2023 14:00:36	1548.5	274.4	36.9	2879.8	1557.2	721.8
19/07/2023 14:02:36	1450.2	256.3	34.7	2313.1	1444.8	668.8
19/07/2023 14:03:36	1309.6	247.6	34.0	2288.2	1331.8	644.1
19/07/2023 14:04:36	1227.0	231.8	32.1	1994.3	1231.5	594.9
19/07/2023 14:05:36	1211.0	226.8	32.6	1863.6	1211.6	596.8
19/07/2023 14:06:36	1245.0	221.4	31.9	2652.3	1259.5	578.2
19/07/2023 14:07:36	1166.8	225.4	31.6	1684.3	1149.6	574.7
19/07/2023 14:08:36	1152.9	216.9	30.5	1771.5	1149.7	566.2
19/07/2023 14:09:36	1149.6	214.4	30.7	1780.6	1155.2	563.0
19/07/2023 14:10:36	1194.4	227.6	31.3	1995.7	1205.0	585.6
19/07/2023 14:11:36	1213.3	229.1	31.7	2242.7	1225.3	590.0
19/07/2023 14:12:36	1123.5	212.0	31.0	1772.6	1127.1	551.4
19/07/2023 14:13:36	1138.1	220.7	31.5	1826.2	1148.7	569.0
19/07/2023 14:14:36	1112.6	221.0	31.8	1822.5	1113.3	561.6
19/07/2023 14:15:36	1109.6	220.4	31.2	1599.4	1100.7	557.4
19/07/2023 14:16:36	1115.5	220.7	31.4	1809.7	1122.3	560.8
19/07/2023 14:17:36	1099.1	221.2	31.6	1885.8	1120.7	561.9
19/07/2023 14:18:36	1119.8	225.2	32.2	2472.9	1137.3	561.6
19/07/2023 14:19:36	1127.4	214.9	31.6	2284.9	1140.8	555.7
19/07/2023 14:20:36	1150.4	224.8	31.5	2666.0	1177.0	567.6
19/07/2023 14:21:36	1132.8	218.1	31.5	2533.6	1158.7	549.1
19/07/2023 14:22:36	1052.0	203.5	30.5	1890.2	1061.8	513.0
19/07/2023 14:23:36	1041.5	209.8	31.0	1912.2	1047.4	529.3
19/07/2023 14:24:36	1015.0	210.5	30.9	1810.7	1026.4	520.5
19/07/2023 14:25:36	998.5	207.7	30.9	1700.2	1000.5	515.5
19/07/2023 14:26:36	968.6	200.0	29.8	1507.2	966.1	503.6
19/07/2023 14:27:36	952.3	200.3	30.4	1968.2	962.8	488.5
19/07/2023 14:28:36	885.4	190.6	28.8	1561.3	893.8	459.0
19/07/2023 14:29:36	915.4	192.4	28.7	1466.8	925.7	474.9
19/07/2023 14:30:36	919.6	189.7	28.7	1699.8	923.8	463.1
19/07/2023 14:31:36	1007.1	192.7	29.0	2016.2	1023.4	494.2
19/07/2023 14:32:36	1122.2	215.7	31.3	2131.0	1153.5	544.5
19/07/2023 14:33:36	1083.1	204.5	30.4	2060.3	1110.4	519.4
19/07/2023 14:34:36	1058.3	213.1	31.3	2165.1	1080.1	532.5
19/07/2023 14:35:36	1131.9	216.6	31.6	2405.8	1169.2	544.6
19/07/2023 14:36:36	1228.2	231.3	33.0	2729.1	1262.7	584.6
19/07/2023 14:37:36	1217.6	222.9	33.0	2344.1	1245.0	574.0
19/07/2023 14:38:36	1479.9	251.5	35.4	4407.2	1558.3	658.3
19/07/2023 14:39:36	1562.9	260.6	36.3	3579.1	1634.1	686.2
19/07/2023 14:40:36	2495.6	326.6	41.1	8188.4	2672.0	935.7
19/07/2023 14:41:36	1608.5	283.4	39.1	3494.5	1641.2	730.1
19/07/2023 14:42:36	1610.4	293.2	39.7	3673.0	1697.3	748.2
19/07/2023 14:43:36	1599.5	289.4	39.9	4413.4	1674.5	743.6
19/07/2023 14:44:36	1547.9	279.2	38.7	3685.2	1621.1	710.2
19/07/2023 14:45:36	1550.7	282.5	39.0	3840.2	1622.8	717.5
19/07/2023 14:46:36	1567.2	280.9	39.8	3225.6	1602.9	710.7
19/07/2023 14:47:36	1491.7	290.1	41.0	3735.9	1553.4	715.6
19/07/2023 14:48:36	1545.3	294.6	41.8	3363.4	1590.3	740.9
19/07/2023 14:49:36	1556.1	284.3	39.5	3130.2	1593.3	736.2
19/07/2023 14:50:36	1599.3	284.2	40.7	3360.0	1630.9	721.6
19/07/2023 14:51:36	1584.4	285.1	41.2	3223.5	1622.0	725.3
19/07/2023 14:52:36	1529.6	279.0	40.0	4044.0	1604.9	718.4
19/07/2023 14:53:36	1515.6	284.5	41.2	3064.8	1567.1	714.2
19/07/2023 14:54:36	1823.7	300.2	43.2	4653.7	1910.3	784.6
19/07/2023 14:55:36	1550.5	282.2	39.8	3326.3	1585.1	726.7
19/07/2023 14:56:36	1466.0	260.2	38.1	3383.1	1508.1	672.5
19/07/2023 14:57:36	1415.5	251.5	37.4	3125.7	1457.7	652.4
19/07/2023 14:58:36	1298.5	247.2	36.1	2970.8	1358.7	618.5
19/07/2023 14:59:36	1266.1	245.4	36.1	2216.8	1295.5	611.8
19/07/2023 15:00:36	1292.3	241.9	34.8	2914.9	1331.4	605.0
19/07/2023 15:01:36	1254.5	234.4	34.8	2355.6	1283.8	591.2
19/07/2023 15:02:36	1359.5	238.9	34.8	3512.4	1402.8	609.1
19/07/2023 15:03:36	1324.2	248.7	34.4	2953.7	1369.3	631.3
19/07/2023 15:04:36	1247.2	228.8	33.0	2813.4	1302.3	585.4
19/07/2023 15:05:36	1113.5	205.1	31.5	2227.1	1144.0	531.3
19/07/2023 15:06:36	1113.9	201.9	30.5	2747.1	1142.8	521.4
19/07/2023 15:07:36	1134.3	212.9	31.0	2173.5	1145.0	538.4
19/07/2023 15:08:36	1095.9	208.6	31.1	2404.6	1125.9	528.0
19/07/2023 15:09:36	1148.3	219.9	32.7	2374.4	1188.7	551.5
19/07/2023 15:10:36	1239.3	230.9	35.1	3312.1	1274.2	586.3
19/07/2023 15:11:36	1271.2	242.9	36.5	2799.8	1309.4	608.5
19/07/2023 15:12:36	1354.8	251.0	36.6	2768.6	1376.1	633.2
19/07/2023 15:13:36	1383.9	259.3	38.5	2414.9	1401.7	660.0
19/07/2023 15:15:36	1375.7	259.6	39.2	2629.0	1415.6	655.5
19/07/2023 15:16:36	1469.6	276.6	41.1	3143.4	1516.9	689.7
19/07/2023 15:17:36	1491.4	284.9	42.5	2714.9	1526.9	705.0
19/07/2023 15:18:36	1506.4	290.8	43.7	2801.2	1530.4	723.4
19/07/2023 15:19:36	1450.8	292.9	43.5	2479.0	1470.1	719.3
19/07/2023 15:20:36	1489.8	299.2	43.8	2763.9	1514.8	728.5
19/07/2023 15:21:36	1427.1	291.7	43.9	2560.6	1449.7	704.6
19/07/2023 15:22:36	1682.2	384.3	51.4	3238.8	1715.3	870.0
19/07/2023 15:23:36	1663.3	335.6	48.7	2977.6	1689.7	832.3
19/07/2023 15:24:36	1368.0	295.2	45.5	2178.9	1380.3	704.8
19/07/2023 15:25:36	1344.4	306.1	45.4	2824.7	1364.1	714.3
19/07/2023 15:26:36	1407.9	304.1	45.4	2484.8	1423.3	720.9
19/07/2023 15:27:35	1447.4	309.9	45.9	2951.2	1476.0	743.9
19/07/2023 15:28:35	1418.6	305.2	46.4	2713.9	1446.7	722.6
19/07/2023 15:29:36	1297.5	288.4	44.7	2217.8	1317.1	680.6
19/07/2023 15:30:35	1344.8	294.1	43.9	2268.7	1359.4	698.6
19/07/2023 15:31:36	1241.1	276.6	42.6	1882.6	1239.1	655.1
19/07/2023 15:33:35	1261.1	280.6	43.6	2450.1	1287.4	662.7
19/07/2023 15:34:35	1333.1	298.4	45.1	2395.3	1342.4	703.4
19/07/2023 15:36:35	1146.2	256.1	40.8	1790.2	1143.3	599.9
19/07/2023 15:39:35	1065.5	238.1	38.2	1753.0	1063.2	565.0
19/07/2023 15:40:35	1032.3	235.2	37.7	1417.2	1018.5	551.1
19/07/2023 15:41:35	1018.4	232.3	37.5	2101.1	1025.8	545.6
19/07/2023 15:43:35	1128.7	257.0	39.6	2567.8	1159.1	598.0
19/07/2023 15:44:35	947.6	227.9	36.4	1748.5	953.4	526.9
19/07/2023 15:45:35	877.2	224.0	35.7	1403.9	882.6	504.0
19/07/2023 15:46:35	874.6	220.2	34.4	1725.9	875.5	493.6
19/07/2023 15:47:35	880.1	203.3	33.7	1374.5	884.0	472.3
19/07/2023 15:48:35	880.6	200.3	32.5	2461.9	902.4	460.8
19/07/2023 15:50:35	2076.0	541.4	60.7	6577.7	2145.4	1144.8
19/07/2023 15:51:35	1653.7	313.4	44.6	7881.4	1764.4	797.4
19/07/2023 15:52:35	809.8	201.2	32.9	1604.8	825.0	455.9
19/07/2023 15:53:35	892.0	211.4	32.7	1932.6	902.5	484.5
19/07/2023 15:54:35	909.2	204.0	32.6	1729.9	920.4	474.2
19/07/2023 15:55:35	848.4	196.3	31.1	1662.2	866.0	455.9
19/07/2023 15:56:35	1341.1	244.5	36.8	6212.8	1473.1	624.3
19/07/2023 15:57:35	943.3	209.2	33.3	1796.8	952.3	487.0
19/07/2023 15:58:35	1252.6	247.6	38.3	2646.5	1281.0	604.9
19/07/2023 15:59:35	1185.7	234.5	36.1	2368.9	1221.4	577.3
19/07/2023 16:00:35	1081.7	223.4	34.5	2702.8	1114.9	536.8
19/07/2023 16:01:35	1186.5	238.5	35.9	2209.3	1209.8	577.1
19/07/2023 16:02:35	1448.1	263.5	38.8	2868.3	1475.9	664.9
19/07/2023 16:03:35	1496.5	277.8	40.1	3649.5	1551.1	700.4
19/07/2023 16:04:35	1621.3	294.0	41.4	3783.5	1687.8	748.4
19/07/2023 16:05:35	1644.6	308.5	42.4	3354.0	1696.0	771.6
19/07/2023 16:06:35	1758.2	313.8	44.5	4013.0	1821.8	812.4
19/07/2023 16:07:35	1684.8	311.2	43.9	3755.2	1745.5	791.4
19/07/2023 16:08:35	1627.0	298.3	42.2	3384.8	1655.2	758.4
19/07/2023 16:09:35	1567.7	302.4	42.0	2980.0	1598.0	752.1
19/07/2023 16:10:35	1476.5	280.1	40.4	2714.6	1498.1	700.2
19/07/2023 16:11:35	1539.9	289.3	40.5	3139.3	1573.3	728.0
19/07/2023 16:12:35	1631.6	290.6	40.2	7346.0	1716.4	745.5
19/07/2023 16:13:35	1558.3	280.7	40.3	3342.8	1596.2	715.8
19/07/2023 16:15:35	1374.2	275.8	38.2	2671.1	1391.7	674.7
